Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,u (kPa),U2,I(B),Mod. SBTn
2.55,1.76988,36.77,76.81,1785.23,1.63,2.1,4,2.74,19,48.45,15.21,33.24,47.43,2.17,0.02,5,0.8,2.41,2.45,38,76.81,1.01,31.5,5
2.575,1.61691,35.57,31.2,1623.15,1.69,2.06,4,2.72,19,48.93,15.45,33.47,48.93,2.13,0.02,5,0.79,2.38,2.43,39.03,31.2,0.88,32.05,5
2.6,1.64628,32.1,27.08,1651.69,1.66,1.92,4,2.71,19,49.4,15.7,33.7,47.77,1.98,0.01,5,0.79,2.36,2.42,37.99,27.08,0.36,33.08,7
2.625,1.69855,27.79,24.92,1703.53,1.74,1.61,4,2.65,19,49.88,15.94,33.93,49.86,1.66,0.01,5,0.77,2.3,2.37,38.83,24.92,0.26,36.31,7
2.65,1.86525,24.42,22.76,1869.8,1.78,1.47,4,2.62,19,50.35,16.19,34.16,50.49,1.51,0,5,0.76,2.26,2.34,38.97,22.76,0.18,38,7
2.675,1.74854,25.97,18.84,1752.31,1.73,1.54,4,2.64,19,50.83,16.43,34.39,48.82,1.59,0,5,0.77,2.27,2.36,38.07,18.84,0.1,36.87,7
2.7,1.56389,29.52,18.44,1567.58,1.58,1.79,4,2.71,19,51.3,16.68,34.62,44.03,1.85,0,5,0.79,2.32,2.43,35.33,18.44,0.07,33.48,7
2.725,1.40291,29.15,19.82,1406.87,1.49,1.89,4,2.74,19,51.78,16.92,34.85,41.4,1.96,0,5,0.8,2.34,2.46,33.7,19.82,0.06,32.14,7
2.75,1.50627,26.08,18.64,1510,1.53,1.71,4,2.71,19,52.25,17.17,35.08,42.08,1.77,0,5,0.79,2.3,2.43,33.9,18.64,0.05,33.79,7
2.775,1.66536,23.05,18.54,1669.07,1.66,1.44,4,2.64,19,52.73,17.41,35.31,45.44,1.49,0,5,0.77,2.23,2.37,35.76,18.54,0.02,37.11,7
2.8,1.78972,22.64,17.36,1793.19,1.73,1.29,4,2.6,19,53.2,17.66,35.54,47.2,1.34,0,5,0.76,2.19,2.33,36.67,17.36,-0.01,39.22,7
2.825,1.72677,21.54,16.48,1730.06,1.67,1.29,4,2.62,19,53.68,17.9,35.77,45.13,1.34,0,5,0.76,2.19,2.35,35.31,16.48,-0.03,38.65,7
2.85,1.47806,20.62,16.38,1481.34,1.51,1.37,4,2.67,19,54.15,18.15,36,40.45,1.43,0,5,0.78,2.22,2.39,32.29,16.38,-0.03,36.45,7
2.875,1.31592,20.11,18.64,1319.65,1.36,1.46,4,2.72,19,54.63,18.39,36.23,36.13,1.52,0,5,0.8,2.25,2.44,29.44,18.64,0,34.38,7
2.9,1.28618,18.95,20.7,1290.32,1.29,1.47,4,2.74,19,55.1,18.64,36.46,34.01,1.54,0,5,0.81,2.26,2.46,27.98,20.7,0.05,33.59,7
2.925,1.27051,18.21,22.27,1274.96,1.27,1.43,4,2.74,19,55.58,18.88,36.69,33.13,1.5,0,5,0.81,2.25,2.47,27.31,22.27,0.08,33.64,7
2.95,1.24304,17.47,22.86,1247.61,1.21,1.42,4,2.76,19,56.05,19.13,36.92,31.26,1.49,0,5,0.81,2.25,2.48,25.98,22.86,0.11,33.07,6
2.975,1.10304,16,24.43,1107.92,1.14,1.52,4,2.79,19,56.53,19.37,37.15,29.19,1.6,0,5,0.83,2.27,2.52,24.62,24.43,0.14,31.67,4
3,1.06184,18.46,26.49,1067.13,1.11,1.5,4,2.8,19,57,19.62,37.38,28.25,1.58,0.04,4,0.83,2.27,2.53,23.93,26.49,1.19,31.46,4
3.025,1.13606,15.64,141.26,1164.3,1.15,1.37,4,2.77,19,57.48,19.87,37.61,29.14,1.44,0.06,5,0.82,2.23,2.5,24.43,141.26,1.79,32.72,6
3.05,1.21028,13.34,93.39,1228.95,1.17,1.18,4,2.73,19,57.95,20.11,37.84,29.46,1.24,0.07,5,0.81,2.19,2.46,24.41,93.39,2.07,34.31,6
3.075,1.11262,12.5,61.12,1124.84,1.12,1.1,4,2.73,19,58.43,20.36,38.07,27.99,1.16,0.05,5,0.81,2.18,2.46,23.24,61.12,1.33,34.31,6
3.1,1.00694,11.13,58.37,1018.61,1.02,1.1,4,2.77,19,58.9,20.6,38.3,25.19,1.17,0.04,5,0.82,2.2,2.5,21.22,58.37,1.05,32.92,6
3.125,0.91425,10.21,63.47,926.94,0.93,1.09,4,2.81,19,59.38,20.85,38.53,22.49,1.17,0.05,5,0.84,2.22,2.54,19.22,63.47,1.1,31.62,4
3.15,0.81812,8.95,67.59,831.63,0.86,1.09,4,2.84,19,59.85,21.09,38.76,20.56,1.17,0.06,4,0.85,2.23,2.57,17.78,67.59,1.25,30.61,4
3.175,0.79561,8.74,77.4,811.08,0.84,1.14,4,2.85,19,60.33,21.34,38.99,20.02,1.22,0.08,4,0.85,2.23,2.58,17.44,77.4,1.55,30.04,4
3.2,0.86048,10.97,99.77,880.42,0.92,1.21,4,2.83,19,60.8,21.58,39.22,21.92,1.29,0.09,4,0.85,2.21,2.56,18.98,99.77,2.01,30.66,4
3.225,1.04509,13.61,123.8,1069.84,1.08,1.23,4,2.77,19,61.28,21.83,39.45,25.92,1.3,0.1,5,0.83,2.16,2.51,22.04,123.8,2.48,32.47,6
3.25,1.27397,15.33,134.89,1300.93,1.22,1.28,4,2.73,19,61.75,22.07,39.68,29.14,1.35,0.09,5,0.81,2.12,2.48,24.54,134.89,2.59,33.48,6
3.275,1.25948,17.95,115.66,1282.6,1.31,1.41,4,2.73,19,62.23,22.32,39.91,31.22,1.48,0.08,5,0.81,2.11,2.48,26.3,115.66,2.43,33.29,6
3.3,1.31899,22.2,107.62,1340.5,1.38,1.56,4,2.73,19,62.7,22.56,40.14,32.83,1.64,0.07,5,0.82,2.11,2.48,27.74,107.62,2.15,32.71,7
3.325,1.49714,24.49,103.3,1517.79,1.44,1.64,4,2.73,19,63.18,22.81,40.37,34.01,1.72,0.06,5,0.82,2.1,2.48,28.77,103.3,1.99,32.47,7
3.35,1.42962,24.03,98.69,1449.35,1.44,1.67,4,2.73,19,63.65,23.05,40.6,33.92,1.75,0.05,5,0.82,2.09,2.49,28.77,98.69,1.71,32.23,7
3.375,1.33958,23.71,74.95,1354.56,1.39,1.72,4,2.75,19,64.13,23.3,40.83,32.46,1.8,0.04,5,0.83,2.09,2.51,27.76,74.95,1.45,31.46,5
3.4,1.3495,23.88,74.16,1364.32,1.34,1.77,4,2.77,19,64.6,23.54,41.06,31.11,1.86,0.04,4,0.83,2.1,2.53,26.81,74.16,1.23,30.74,5
3.425,1.29228,23.52,73.18,1306.91,1.28,2.01,4,2.81,19,65.08,23.79,41.29,29.54,2.11,0.04,4,0.85,2.12,2.57,25.88,73.18,1.27,28.77,5
3.45,1.16641,29.94,81.13,1182.63,1.2,2.49,3,2.89,19,65.55,24.03,41.52,27.4,2.63,0.05,4,0.88,2.17,2.65,24.64,81.13,1.35,25.69,5
3.475,1.10231,36.36,85.45,1119.39,1.15,3.01,3,2.95,19,66.03,24.28,41.75,26.02,3.19,0.06,4,0.9,2.2,2.71,23.92,85.45,1.59,23.18,5
3.5,1.13397,37.7,105.75,1155.11,1.16,3.23,3,2.97,19,66.5,24.53,41.98,26.16,3.42,0.07,4,0.91,2.2,2.73,24.19,105.75,1.93,22.37,5
3.525,1.19423,38.77,125.76,1219.37,1.16,3.27,3,2.97,19,66.98,24.77,42.2,26.02,3.47,0.07,4,0.91,2.2,2.73,24.1,125.76,1.72,22.21,5
