Depth (m),qc (MPa),fs (kPa),u (kPa),Other,qt (MPa),Rf (%),SBT,Ic SBT,γ (kN/m³),"σ,v (kPa)",u0 (kPa),"σ',vo (kPa)",Qt1,Fr (%),Bq,SBTn,n,Cn,Ic,Qtn,u (kPa),U2,I(B),Mod. SBTn
5.225,1.88029,27.84,443.22,1968.88,1.92,1.41,4,2.58,19,99.28,41.45,57.83,31.55,1.48,0.21,5,0.81,1.56,2.45,28.47,443.22,6.66,34.26,7
5.25,1.78874,28.43,459.01,1880.49,1.88,1.45,4,2.6,19,99.75,41.69,58.06,30.63,1.53,0.22,5,0.82,1.56,2.47,27.75,459.01,6.7,33.56,7
5.275,1.70673,25.39,389.95,1784.67,1.78,1.46,4,2.62,19,100.23,41.94,58.29,28.78,1.54,0.22,5,0.83,1.56,2.49,26.22,389.95,6.38,32.79,6
5.3,1.58999,23.86,391.62,1668.27,1.71,1.44,4,2.63,19,100.7,42.18,58.52,27.43,1.53,0.24,5,0.83,1.56,2.5,25.08,391.62,6.51,32.35,6
5.325,1.56711,24.55,487.26,1664.5,1.68,1.43,4,2.64,19,101.18,42.43,58.75,26.87,1.53,0.27,5,0.84,1.56,2.51,24.61,487.26,7.23,32.17,6
5.35,1.60144,23.89,522.68,1705.91,1.69,1.42,4,2.63,19,101.65,42.67,58.98,26.94,1.51,0.29,5,0.83,1.55,2.5,24.67,522.68,7.73,32.34,6
5.375,1.60296,23.42,486.58,1700.22,1.61,1.42,4,2.65,19,102.13,42.92,59.21,25.54,1.51,0.28,5,0.84,1.55,2.52,23.49,486.58,7.15,31.73,4
5.4,1.35807,21.33,389.36,1435.9,1.51,1.49,4,2.69,19,102.6,43.16,59.44,23.68,1.6,0.27,4,0.86,1.56,2.56,21.97,389.36,6.28,30.38,4
5.425,1.31916,22.97,373.86,1393.89,1.42,1.61,4,2.73,19,103.08,43.41,59.67,22.09,1.74,0.26,4,0.87,1.57,2.6,20.68,373.86,5.73,28.95,4
5.45,1.3554,24.47,392.99,1433.95,1.39,1.63,4,2.74,19,103.55,43.65,59.9,21.45,1.76,0.28,4,0.88,1.57,2.62,20.14,392.99,6.1,28.58,4
5.475,1.244,20.36,461.07,1336.16,1.31,1.61,4,2.76,19,104.03,43.9,60.13,20.08,1.75,0.26,4,0.88,1.57,2.64,18.94,461.07,5.2,28.07,4
5.5,1.1204,18.44,215.53,1163.48,1.19,1.57,4,2.79,19,104.5,44.15,60.36,18.05,1.72,0.26,4,0.9,1.57,2.67,17.14,215.53,4.67,27.28,4
5.525,1.02208,17.45,301.46,1082.34,1.11,1.59,4,2.82,19,104.98,44.39,60.58,16.51,1.76,0.24,4,0.91,1.58,2.7,15.79,301.46,3.93,26.38,4
5.55,1.00376,16.89,330.4,1069.8,1.03,1.63,4,2.85,19,105.45,44.64,60.81,15.26,1.81,0.31,4,0.92,1.58,2.74,14.69,330.4,4.75,25.55,4
5.575,0.87407,16.09,367.97,947.62,0.97,1.61,4,2.87,19,105.93,44.88,61.04,14.17,1.81,0.36,4,0.93,1.58,2.76,13.71,367.97,5.13,25.02,4
5.6,0.82066,13.92,376.21,895.86,0.92,1.57,4,2.88,19,106.4,45.13,61.27,13.3,1.77,0.41,4,0.94,1.58,2.78,12.92,376.21,5.46,24.67,4
5.625,0.84239,13.34,394.36,921.22,0.92,1.41,4,2.86,19,106.88,45.37,61.5,13.24,1.59,0.42,4,0.93,1.57,2.76,12.81,394.36,5.6,25.22,4
5.65,0.86644,11.69,399.37,946.27,0.95,1.27,4,2.83,19,107.35,45.62,61.73,13.58,1.43,0.43,4,0.92,1.56,2.73,13.07,399.37,5.78,25.99,4
5.675,0.8878,11.07,413,970.35,0.95,1.15,4,2.81,19,107.83,45.86,61.96,13.65,1.3,0.43,4,0.91,1.55,2.7,13.09,413,5.85,26.54,4
5.7,0.86185,10.17,412.22,944.24,0.93,1.13,4,2.81,19,108.3,46.11,62.19,13.18,1.28,0.44,4,0.92,1.54,2.71,12.66,412.22,5.77,26.28,4
5.725,0.79129,10.27,390.24,869.29,0.91,1.15,4,2.82,19,108.78,46.35,62.42,12.9,1.31,0.45,4,0.92,1.54,2.73,12.42,390.24,5.78,25.99,4
5.75,0.84431,11.22,418.49,927.96,0.95,1.22,4,2.82,19,109.25,46.6,62.65,13.44,1.38,0.45,4,0.92,1.54,2.72,12.94,418.49,6.07,26.11,4
5.775,0.96295,13.43,472.16,1057.33,1.07,1.21,4,2.77,19,109.73,46.84,62.88,15.26,1.35,0.43,4,0.9,1.52,2.67,14.57,472.16,6.63,27.4,4
5.8,1.12316,14.24,500.21,1223.14,1.17,1.21,4,2.74,19,110.2,47.09,63.11,16.79,1.33,0.38,4,0.89,1.5,2.64,15.94,500.21,6.42,28.44,4
5.825,1.15292,14.66,384.75,1229.82,1.21,1.21,4,2.72,19,110.68,47.33,63.34,17.36,1.33,0.32,4,0.88,1.5,2.62,16.45,384.75,5.52,28.8,4
5.85,1.11743,14.9,305.58,1178.51,1.16,1.28,4,2.75,19,111.15,47.58,63.57,16.52,1.41,0.27,4,0.89,1.5,2.65,15.74,305.58,4.54,27.9,4
5.875,1.01177,14.97,317.55,1075.24,1.11,1.35,4,2.78,19,111.63,47.82,63.8,15.71,1.5,0.28,4,0.91,1.5,2.68,15.05,317.55,4.45,27.04,4
5.9,1.01329,15.37,372.78,1087.8,1.09,1.44,4,2.8,19,112.1,48.07,64.03,15.3,1.61,0.33,4,0.91,1.5,2.71,14.72,372.78,5.12,26.39,4
5.925,1.02435,16.96,436.74,1111.65,1.11,1.53,4,2.81,19,112.58,48.31,64.26,15.48,1.7,0.4,4,0.92,1.5,2.72,14.93,436.74,6.21,26.12,4
5.95,1.01672,18.56,533.08,1123.27,1.12,1.72,4,2.83,19,113.05,48.56,64.49,15.56,1.91,0.44,4,0.93,1.5,2.74,15.06,533.08,6.87,25.36,4
5.975,1.0129,22.08,504.43,1113.73,1.1,1.91,4,2.86,19,113.53,48.8,64.72,15.17,2.13,0.45,4,0.94,1.5,2.77,14.77,504.43,6.88,24.4,4
6,0.95988,22.22,444.88,1048.8,1.01,2.22,3,2.92,19,114,49.05,64.95,13.87,2.5,0.44,4,0.96,1.52,2.84,13.66,444.88,6.1,22.72,4
6.025,0.80393,23.23,385.83,881.05,1.06,2.17,4,2.9,19,114.48,49.3,65.18,14.58,2.43,0.39,4,0.96,1.51,2.82,14.3,385.83,5.74,23.19,4
6.05,1.17549,23.9,440.08,1263.45,1.25,1.9,4,2.81,19,114.95,49.54,65.41,17.33,2.09,0.35,4,0.92,1.48,2.72,16.75,440.08,6.06,25.46,4
6.075,1.49821,24.11,511.59,1600.47,1.52,1.62,4,2.7,19,115.43,49.79,65.64,21.35,1.76,0.31,4,0.88,1.45,2.61,20.29,511.59,6.72,28.67,4
6.1,1.58213,25.87,521.21,1686.31,1.7,1.47,4,2.64,19,115.9,50.03,65.87,24.05,1.57,0.28,4,0.85,1.43,2.55,22.62,521.21,6.64,30.89,4
6.125,1.72709,24.79,429.58,1812.96,1.74,1.41,4,2.62,19,116.38,50.28,66.1,24.51,1.51,0.24,4,0.85,1.42,2.53,23.01,429.58,5.85,31.49,4
6.15,1.63783,22.92,359.34,1709.66,1.67,1.44,4,2.64,19,116.85,50.52,66.33,23.47,1.55,0.19,4,0.86,1.42,2.55,22.11,359.34,4.35,30.82,4
6.175,1.45205,24.55,228.28,1497.68,1.53,1.59,4,2.7,19,117.33,50.77,66.56,21.28,1.72,0.15,4,0.88,1.43,2.61,20.25,228.28,3.21,28.85,4
6.2,1.35325,25.68,205.62,1394.35,1.39,1.82,4,2.76,19,117.8,51.01,66.79,18.98,1.99,0.16,4,0.91,1.44,2.68,18.27,205.62,2.95,26.57,4
6.225,1.20219,25.55,310.58,1264.27,1.3,2,4,2.81,19,118.28,51.26,67.02,17.67,2.2,0.17,4,0.92,1.45,2.73,17.14,310.58,3.09,25.21,4
6.25,1.19761,26.83,259.08,1249.4,1.26,2.11,4,2.83,19,118.75,51.5,67.25,16.91,2.33,0.2,4,0.93,1.45,2.76,16.47,259.08,3.43,24.44,4
6.275,1.19915,27,277.03,1254.52,1.26,2.16,4,2.84,19,119.23,51.75,67.48,16.98,2.39,0.21,4,0.94,1.44,2.76,16.55,277.03,3.64,24.25,4
6.3,1.21897,28.18,355.32,1289.99,1.28,2.2,4,2.84,19,119.7,51.99,67.71,17.18,2.42,0.21,4,0.94,1.44,2.76,16.76,355.32,3.68,24.2,4
6.325,1.25063,29.36,270.95,1304.79,1.3,2.21,4,2.83,19,120.18,52.24,67.94,17.4,2.44,0.22,4,0.93,1.44,2.76,16.96,270.95,3.87,24.21,4
6.35,1.24757,28.95,318.83,1311.3,1.31,2.22,4,2.83,19,120.65,52.48,68.17,17.39,2.45,0.21,4,0.94,1.43,2.76,16.96,318.83,3.57,24.18,4
6.375,1.24223,28.74,297.34,1301.66,1.29,2.21,4,2.84,19,121.13,52.73,68.4,17.08,2.44,0.2,4,0.94,1.43,2.76,16.67,297.34,3.43,24.11,4
6.4,1.20521,27.66,245.25,1254.23,1.26,2.2,4,2.84,19,121.6,52.97,68.63,16.59,2.43,0.2,4,0.94,1.42,2.77,16.23,245.25,3.31,23.96,4
6.425,1.16554,26.64,297.93,1225.09,1.22,2.19,4,2.85,19,122.08,53.22,68.86,15.92,2.43,0.22,4,0.95,1.42,2.79,15.6,297.93,3.55,23.72,4
6.45,1.10565,25.62,350.71,1175.75,1.18,2.19,4,2.87,19,122.55,53.46,69.09,15.35,2.44,0.26,4,0.95,1.42,2.8,15.08,350.71,4.05,23.47,4
6.475,1.07779,25.47,350.71,1147.89,1.15,2.13,4,2.87,19,123.03,53.71,69.32,14.84,2.38,0.29,4,0.95,1.42,2.8,14.59,350.71,4.36,23.47,4
6.5,1.05793,22.4,365.81,1131.05,1.1,2.11,4,2.88,19,123.5,53.96,69.55,14.06,2.37,0.24,4,0.96,1.42,2.82,13.86,365.81,3.4,23.19,4
6.525,0.99484,21.8,155.39,1025.9,1.13,1.95,4,2.86,19,123.98,54.2,69.77,14.41,2.19,0.2,4,0.95,1.41,2.8,14.15,155.39,2.88,23.91,4
6.55,1.18213,21.91,243.88,1230.88,1.16,1.9,4,2.84,19,124.45,54.45,70,14.81,2.13,0.17,4,0.94,1.4,2.78,14.52,243.88,2.53,24.28,4
6.575,1.16802,22.63,294.69,1226.92,1.26,1.8,4,2.8,19,124.93,54.69,70.23,16.1,2,0.24,4,0.93,1.39,2.74,15.69,294.69,3.85,25.33,4
6.6,1.22143,23.43,436.25,1308.63,1.3,1.78,4,2.78,19,125.4,54.94,70.46,16.71,1.97,0.29,4,0.92,1.38,2.72,16.26,436.25,4.89,25.73,4
6.625,1.27942,23.6,466.66,1372.7,1.37,1.73,4,2.76,19,125.88,55.18,70.69,17.58,1.9,0.33,4,0.91,1.37,2.69,17.05,466.66,5.73,26.42,4
6.65,1.32862,23.8,478.73,1424.31,1.41,1.71,4,2.74,19,126.35,55.43,70.92,18.16,1.88,0.33,4,0.91,1.37,2.68,17.59,478.73,5.97,26.77,4
6.675,1.34732,25.18,492.17,1445.7,1.46,1.71,4,2.73,19,126.83,55.67,71.15,18.78,1.87,0.32,4,0.9,1.36,2.67,18.16,492.17,6.03,27.08,4
6.7,1.42247,26.04,483.83,1519.18,1.52,1.71,4,2.71,19,127.3,55.92,71.38,19.57,1.86,0.31,4,0.9,1.35,2.65,18.9,483.83,6.08,27.48,4
6.725,1.50906,26.79,494.13,1607.83,1.59,1.64,4,2.69,19,127.78,56.16,71.61,20.46,1.78,0.3,4,0.89,1.34,2.63,19.7,494.13,6.06,28.27,4
6.75,1.55294,25.39,493.15,1651.51,1.62,1.59,4,2.67,19,128.25,56.41,71.84,20.79,1.72,0.29,4,0.88,1.34,2.61,20,493.15,6.01,28.72,4
6.775,1.51173,25.04,477.06,1607.09,1.62,1.55,4,2.67,19,128.73,56.65,72.07,20.73,1.69,0.29,4,0.88,1.33,2.61,19.93,477.06,6.04,28.89,4
6.8,1.50754,25.12,505.61,1608.6,1.61,1.55,4,2.67,19,129.2,56.9,72.3,20.44,1.69,0.31,4,0.88,1.33,2.61,19.68,505.61,6.26,28.77,4
6.825,1.49723,24.58,546.02,1606.37,1.61,1.51,4,2.67,19,129.68,57.14,72.53,20.41,1.65,0.32,4,0.88,1.33,2.61,19.64,546.02,6.56,28.96,4
6.85,1.50562,23.43,547.5,1615.05,1.62,1.46,4,2.66,19,130.15,57.39,72.76,20.48,1.59,0.32,4,0.88,1.32,2.6,19.69,547.5,6.54,29.29,4
6.875,1.53728,23.18,505.71,1638.36,1.64,1.45,4,2.65,19,130.63,57.63,72.99,20.67,1.58,0.31,4,0.87,1.32,2.59,19.87,505.71,6.31,29.47,4
6.9,1.56437,24.79,501.49,1664.61,1.66,1.5,4,2.65,19,131.1,57.88,73.22,20.82,1.63,0.29,4,0.88,1.31,2.6,20.04,501.49,6.08,29.24,4
6.925,1.5636,26.76,502.66,1664.07,1.68,1.59,4,2.66,19,131.57,58.12,73.45,21.05,1.73,0.29,4,0.88,1.31,2.61,20.29,502.66,6.02,28.82,4
6.95,1.60516,28.72,497.66,1704.63,1.69,1.69,4,2.67,19,132.05,58.37,73.68,21.1,1.84,0.27,4,0.89,1.31,2.62,20.38,497.66,5.63,28.28,4
6.975,1.6082,30.17,418.4,1691.83,1.68,1.75,4,2.68,19,132.53,58.61,73.91,20.93,1.9,0.26,4,0.89,1.31,2.63,20.24,418.4,5.49,27.9,4
7,1.54565,29.11,476.37,1640.87,1.66,1.79,4,2.69,19,133,58.86,74.14,20.62,1.95,0.19,4,0.89,1.31,2.64,19.97,476.37,3.89,27.51,4
7.025,1.62226,30.11,146.27,1651.5,1.68,1.76,4,2.69,19,133.48,59.11,74.37,20.76,1.91,0.14,4,0.89,1.3,2.64,20.11,146.27,2.93,27.79,4
7.05,1.69886,29.14,207.38,1740.31,1.72,1.73,4,2.67,19,133.95,59.35,74.6,21.3,1.88,0.11,4,0.89,1.3,2.62,20.61,207.38,2.4,28.16,4
7.075,1.70573,30.31,360.62,1777.81,1.81,1.8,4,2.66,19,134.43,59.6,74.83,22.39,1.95,0.16,4,0.88,1.29,2.61,21.65,360.62,3.63,28.22,4
7.1,1.82628,38.45,426.64,1911.56,2,1.78,4,2.63,19,134.9,59.84,75.06,24.8,1.91,0.22,4,0.87,1.28,2.57,23.89,426.64,5.44,29.33,5
7.125,2.17723,37.7,617.15,2300.59,2.28,1.6,4,2.55,19,135.38,60.09,75.29,28.51,1.7,0.22,5,0.84,1.27,2.5,27.25,617.15,6.37,32.01,5
7.15,2.51902,33.42,575.45,2634.04,2.45,1.37,5,2.49,19,135.85,60.33,75.52,30.7,1.45,0.21,5,0.82,1.26,2.43,29.15,575.45,6.47,34.91,7
7.175,2.33744,29.41,453.81,2428.15,2.44,1.21,5,2.46,19,136.32,60.58,75.75,30.36,1.29,0.19,5,0.81,1.25,2.41,28.78,453.81,5.86,36.23,6
7.2,2.14976,25.92,484.32,2246.57,2.25,1.16,5,2.48,19,136.8,60.82,75.98,27.84,1.23,0.21,5,0.81,1.25,2.43,26.45,484.32,5.78,35.54,6
7.225,1.96856,22.77,561.72,2080.84,2.11,1.16,5,2.5,19,137.28,61.07,76.21,25.93,1.24,0.25,5,0.82,1.25,2.46,24.72,561.72,6.53,34.53,6
7.25,1.88731,24.62,630,2013.23,2.01,1.19,5,2.53,19,137.75,61.31,76.44,24.47,1.28,0.3,5,0.84,1.25,2.49,23.41,630,7.27,33.4,6
7.275,1.79881,24.61,660.02,1930.73,1.96,1.39,4,2.57,19,138.23,61.56,76.67,23.79,1.5,0.33,5,0.85,1.25,2.53,22.87,660.02,7.78,31.53,4
7.3,1.80493,32.7,683.46,1941.54,1.95,1.41,4,2.58,19,138.7,61.8,76.9,23.55,1.52,0.35,4,0.86,1.25,2.54,22.67,683.46,8.13,31.3,4
7.325,1.8339,25.13,716.91,1977.2,2.07,1.72,4,2.6,19,139.18,62.05,77.13,25.05,1.84,0.34,4,0.86,1.25,2.56,24.18,716.91,8.55,29.86,5
7.35,2.14136,48.78,763.02,2293.87,2.29,2.04,4,2.61,19,139.65,62.29,77.36,27.86,2.17,0.3,4,0.87,1.25,2.57,26.92,763.02,8.43,28.72,5
